-Acurácia para xn+50
-2 divisões (rede deve adivinhar se xn+50 é maior ou menor que 0.5)
-1000 conjuntos de 25 "vizinhos" (xn-24,xn-23...,xn)

-1ª coluna: número de neurônios na camada oculta
-2ª coluna: acurácia do dataset de treinamento
-3ª coluna: acurácia do dataset de teste

otimizador:adam 
1,70.14,71.0
2,68.29,71.67
3,72.43,68.67
4,70.71,71.33
5,73.0,66.33
6,70.29,70.0
7,76.14,62.33
8,73.14,69.0
9,71.57,68.67
10,75.29,70.33
11,79.86,65.67
12,75.57,58.33
13,76.29,66.67
14,76.0,66.67
15,74.14,68.33
16,81.71,64.0
17,78.57,67.0
18,79.57,64.67
19,79.43,67.33
20,79.86,65.33
21,80.43,62.33
22,79.57,59.33
23,80.29,64.67
24,82.14,63.0
25,85.71,61.67
26,81.14,63.0
27,84.29,64.33
28,79.71,61.67
29,84.43,62.33
30,87.0,65.0
31,84.43,64.33
32,85.71,68.33
33,86.71,66.0
34,89.0,64.67
35,83.71,66.67
36,83.14,55.0
37,85.29,62.67
38,86.43,71.0
39,87.86,66.67
40,89.86,66.67
41,89.86,63.67
42,87.0,66.67
43,91.0,68.0
44,88.86,66.67
45,90.29,66.67
46,85.43,70.0
47,89.0,64.33
48,90.0,67.67
49,92.0,66.67
50,90.86,67.67
51,90.71,65.0
52,91.29,69.33
53,89.57,64.0
54,88.86,68.0
55,91.71,59.0
56,89.0,67.67
57,89.86,59.0
58,92.71,68.67
59,92.0,65.67
60,86.71,68.67
1000,100.0,68.67
1001,99.71,66.33
